theme,question,option_a,option_b,option_c,option_d,correct,level
"Harry Potter","Neville Longbottom proves talented in Herbology. Which unusual plant does he grow that can squirt stinking pus when prodded?","Devil’s Snare","Mimbulus Mimbletonia","Mandrake","Venomous Tentacula","B","medium"
"Harry Potter","What are the names of Draco Malfoy’s two ever-present cronies and bodyguards at school?","Blaise Zabini and Theodore Nott","Vincent Crabbe and Gregory Goyle","Pansy Parkinson and Millicent Bulstrode","Marcus Flint and Adrian Pucey","B","medium"
"Harry Potter","In Dumbledore’s will, what book of wizarding fairy tales does he leave to Hermione?","Fantastic Beasts and Where to Find Them","The Tales of Beedle the Bard","Hogwarts: A History","The Standard Book of Spells","B","medium"
"Harry Potter","Which spell is also referred to as the “Full Body-Bind Curse,” freezing its victim in place?","Stupefy","Petrificus Totalus","Impedimenta","Expelliarmus","B","medium"
"Harry Potter","At the Quidditch World Cup in Goblet of Fire, which country wins the match, even though Viktor Krum catches the Snitch?","Bulgaria","Ireland","England","France","B","medium"
"Harry Potter","During the Battle of Hogwarts, who bravely kills Nagini, Voldemort’s final Horcrux?","Ron Weasley","Hermione Granger","Neville Longbottom","Luna Lovegood","C","medium"
"Harry Potter","Harry’s wand is made of holly, but what magical core does it contain?","Dragon heartstring","Unicorn hair","Phoenix feather","Veela hair","C","medium"
"Harry Potter","What effect does the spell “Obliviate” have on a victim?","Causes pain","It erases or alters their memories","Summons objects","Levitate people","B","medium"
"Harry Potter","What is the name of the Weasley family’s clumsy, elderly owl who often crashes into things?","Pigwidgeon","Hedwig","Errol","Hermes","C","medium"
"Harry Potter","What is Dolores Umbridge’s middle name, revealed in official Ministry records?","Eileen","Jane","Muriel","Petunia","B","medium"
"Harry Potter","What is the name of Dumbledore’s phoenix in the Harry Potter movies?","Flitwick","Fawkes","Firenze","Filius","B","medium"
"Harry Potter","Who was the first goblin that Harry ever met in the movies?","Bogrod","Griphook","Ragnok","Gornuk","B","medium"
"Harry Potter","What spell does Hermione use to fix Harry’s glasses in The Sorcerer’s Stone?","Reparo","Oculus Reparo","Spectacle Fixus","Visus Correcto","B","medium"
"Harry Potter","What magical ability allows Harry to speak to snakes in the movies?","Serpent Speech","Parseltongue","Viper Tongue","Sssspeaker Charm","B","medium"
"Harry Potter","Who originally owned the Elder Wand before Dumbledore in the movies?","Grindelwald","Antioch Peverell","Ignotus Peverell","Cadmus Peverell","B","medium"
"Harry Potter","What is the name of the Weasley family’s owl in the movies?","Pigwidgeon","Errol","Hermes","Scabbers","B","medium"
"Harry Potter","What is the full name of Nearly Headless Nick in the movies?","Sir Nicholas de Mimsy-Porpington","Sir Nickolas the Nearly Beheaded","Baron Nicholas de Gryffindor","Ghostly Sir Nick de Porpington","A","medium"
"Harry Potter","What potion allows the drinker to take on someone else’s appearance in the movies?","Veritaserum","Polyjuice Potion","Felix Felicis","Amortentia","B","medium"
"Harry Potter","What is the name of Hagrid’s half-brother in the movies?","Grawp","Norbert","Fang","Buckbeak","A","medium"
"Harry Potter","Who is the author of Fantastic Beasts and Where to Find Them in the movies?","Albus Dumbledore","Newt Scamander","Rubeus Hagrid","Luna Lovegood","B","medium"
"Harry Potter","What is the name of the ghost who haunts the girls’ bathroom in the movies?","The Grey Lady","Moaning Myrtle","Peeves","The Bloody Baron","B","medium"
"Harry Potter","Who was the first prisoner to escape from Azkaban in the movies?","Bellatrix Lestrange","Sirius Black","Peter Pettigrew","Barty Crouch Jr.","B","medium"
"Harry Potter","What does “Riddikulus” do when cast at a Boggart in the movies?","Makes it disappear","Transforms it into something funny","Freezes it in place","Turns it into a rat","B","medium"
"Harry Potter","What is the name of the village near Hogwarts in the movies?","Diagon Alley","Hogsmeade","Godric's Hollow","Little Hangleton","B","medium"
"Harry Potter","What are the last names of the four Marauders in the movies?","Potter, Black, Lupin, Pettigrew","Weasley, Granger, Malfoy, Longbottom","Dumbledore, Snape, McGonagall, Flitwick","Riddle, Gaunt, Peverell, Grindelwald","A","medium"
"Harry Potter","What type of wood is Harry’s wand made of in the movies?","Oak","Holly","Elder","Vine","B","medium"
"Harry Potter","What does Felix Felicis do in the movies?","Creates illusions","Gives the drinker good luck","Reveals truths","Heals wounds","B","medium"
"Harry Potter","What magical creature pulls the carriages that take students to Hogwarts in the movies?","Hippogriffs","Thestrals","Centaurs","Abraxans","B","medium"
"Harry Potter","What is the full name of the room that appears when needed at Hogwarts in the movies?","The Hidden Chamber","The Room of Requirement","The Vanishing Room","The Secret Suite","B","medium"
"Harry Potter","What is the incantation for the Shield Charm in the movies?","Deflecto","Protego","Armorus","Barrierus","B","medium"
"Harry Potter","What spell creates light at the tip of the wand in the movies?","Illuminos","Lumos","Nox","Flagrate","B","medium"
"Harry Potter","What is the counter-spell for “Lumos” in the movies?","Lumos Maxima","Nox","Revelio","Finite Incantatem","B","medium"
"Harry Potter","What spell makes objects fly in the movies?","Accio","Wingardium Leviosa","Levioso","Floo","B","medium"
"Harry Potter","Which spell is used to erase someone’s memory in the movies?","Obliviate","Confundo","Memoria Wipe","Forgetus","A","medium"
"Harry Potter","What does “Alohomora” do in the movies?","Locks doors","Unlocks doors or objects","Summons keys","Reveals hidden locks","B","medium"
"Harry Potter","What spell is used to summon objects in the movies?","Wingardium Leviosa","Accio","Expecto Patronum","Stupefy","B","medium"
"Harry Potter","Which spell produces a Patronus in the movies?","Riddikulus","Expecto Patronum","Protego","Expelliarmus","B","medium"
"Harry Potter","What does the “Legilimens” spell do in the movies?","Creates shields","Allows the caster to read minds","Summons animals","Heals injuries","B","medium"
"Harry Potter","What spell did Hermione use to free Sirius Black from his chains in the movies?","Alohomora","Relashio","Diffindo","Incendio","B","medium"
"Harry Potter","What does “Sectumsempra” do in the movies?","Summons snakes","Inflicts deep, slashing wounds on the target","Creates fire","Disarms opponents","B","medium"
"Harry Potter","What type of creature is Buckbeak in the movies?","Dragon","Hippogriff","Phoenix","Basilisk","B","medium"
"Harry Potter","What are the small mischievous blue creatures in Chamber of Secrets in the movies?","Doxys","Cornish Pixies","Gnomes","Bowtruckles","B","medium"
"Harry Potter","What is Hagrid’s pet dragon’s name in the movies?","Norbert, later revealed to be Norberta","Charlie","Smokey","Flame","A","medium"
"Harry Potter","What do Thestrals look like in the movies?","Feathered horses","Skeletal black horses with leathery wings, visible only to those who’ve seen death","Invisible unicorns","Winged serpents","B","medium"
"Harry Potter","What kind of creature is Dobby in the movies?","Goblin","House-elf","Elf","Centaur","B","medium"
"Harry Potter","What does a Niffler love to find in the movies?","Food scraps","Shiny objects like gold and treasure","Magical herbs","Lost wands","B","medium"
"Harry Potter","What giant spider lives in the Forbidden Forest in the movies?","Acromantula","Aragog","Shelob","Tarantula King","B","medium"
"Harry Potter","What are the three Unforgivable Curses in the movies?","Avada Kedavra, Imperius, Cruciatus","Expelliarmus, Stupefy, Petrificus Totalus","Lumos, Nox, Alohomora","Wingardium Leviosa, Accio, Reparo","A","medium"
"Harry Potter","What spell kills instantly in the movies?","Crucio","Avada Kedavra","Imperio","Sectumsempra","B","medium"
"Harry Potter","What object did Voldemort turn into his first Horcrux in the movies?","The Ring","Tom Riddle’s Diary","The Locket","The Cup","B","medium"
"Harry Potter","What does the “Imperius” curse do in the movies?","Causes pain","Controls the victim’s actions","Kills instantly","Reads minds","B","medium"
"Harry Potter","What is the symbol of the Deathly Hallows in the movies?","A wand and stone","Elder Wand, Resurrection Stone, Invisibility Cloak in a triangle shape","Three brothers","A phoenix","B","medium"
"Harry Potter","How many Horcruxes did Voldemort create in the movies?","Six","Seven, not including Harry as an accidental eighth","Five","Eight","B","medium"
"Harry Potter","What does a Dementor feed on in the movies?","Fear","Happiness and souls","Magic","Blood","B","medium"
"Harry Potter","Who was the Dark Lord before Voldemort in the movies?","Salazar Slytherin","Gellert Grindelwald","Herpo the Foul","Morgan le Fay","B","medium"
"Harry Potter","Who founded the Hogwarts houses in the movies?","Dumbledore and McGonagall","Godric Gryffindor, Salazar Slytherin, Helga Hufflepuff, Rowena Ravenclaw","The Marauders","The Peverells","B","medium"
"Harry Potter","What subject does Professor Flitwick teach in the movies?","Potions","Charms","Transfiguration","Defense Against the Dark Arts","B","medium"
"Harry Potter","What is the name of the librarian at Hogwarts in the movies?","Madam Hooch","Madam Pince","Madam Pomfrey","Madam Maxime","B","medium"
"Harry Potter","What magical artifact shows you your deepest desire in the movies?","The Pensieve","The Mirror of Erised","The Sorting Hat","The Deluminator","B","medium"
"Harry Potter","How many children do Molly and Arthur Weasley have in the movies?","Six","Seven: Bill, Charlie, Percy, Fred, George, Ron, Ginny","Eight","Five","B","medium"
"Harry Potter","In Harry Potter and the Chamber of Secrets, what ingredient is used to cure Hermione after she is petrified by the basilisk?","Mandrake root","Bezoar","Phoenix tears","Unicorn blood","A","hard"
"Harry Potter","In Harry Potter and the Philosopher’s Stone, what does Hagrid pull out of his coat to start the fire in the hut on the rock?","A lighter","A match","A wand","A dragon egg","C","hard"
"Harry Potter","In Harry Potter and the Goblet of Fire, what colour sparks does Harry send up to signal he’s found an unconscious Fleur Delacour in the maze?","Red","Blue","Green","Gold","A","hard"
"Harry Potter","In Harry Potter and the Half-Blood Prince, who is the first character to raise their wand after Dumbledore’s death to honour him?","Harry Potter","Severus Snape","Draco Malfoy","Ron Weasley","A","hard"
"Harry Potter","In Harry Potter and the Order of the Phoenix, which magical creature does Luna Lovegood mention that Harry and his friends don’t believe exists?","Nargles","Wrackspurts","Crumple-Horned Snorkack","Thestrals","C","hard"
"Harry Potter","In Harry Potter and the Deathly Hallows – Part 2, what spell does Professor McGonagall use to bring the Hogwarts statues to life?","Piertotum Locomotor","Mobilicorpus","Expecto Patronum","Finite Incantatem","A","hard"
"Harry Potter","True or False: In Harry Potter and the Goblet of Fire, the audience can hear the mermaids sing during the second task.","True","False","Only in the extended edition","Only during the credits","B","hard"
"Harry Potter","In Harry Potter and the Order of the Phoenix, what color is Tonks’ hair when she first appears on-screen?","Pink","Blue","Brown","Purple","C","hard"
"Harry Potter","In Harry Potter and the Deathly Hallows – Part 2, who is the last person to duel Voldemort before Harry in the Battle of Hogwarts?","Neville Longbottom","Molly Weasley","Bellatrix Lestrange","Minerva McGonagall","B","hard"
"Harry Potter","Which real-life family member of Tom Felton (Draco) appeared in Harry Potter and the Half-Blood Prince?","His father","His mother","His sister","His brother","A","hard"
"Harry Potter","In Harry Potter and the Prisoner of Azkaban, what is the name of the Knight Bus conductor who greets Harry?","Stan Shunpike","Ernie Prang","Remus Lupin","Sirius Black","A","hard"
"Harry Potter","In Harry Potter and the Goblet of Fire, what does the Triwizard Cup turn out to be in the maze?","A Portkey","A Horcrux","A Time-Turner","An Invisibility Cloak","A","hard"
"Harry Potter","In Harry Potter and the Half-Blood Prince, what potion does Harry accidentally use to win Slughorn's bottle in the lesson?","Felix Felicis","Amortentia","Draught of Living Death","Veritaserum","A","hard"
"Harry Potter","In Harry Potter and the Deathly Hallows – Part 1, what is the name of the goblin who helps Harry break into Gringotts?","Griphook","Gornuk","Bogrod","Ragnok","A","hard"
"Harry Potter","In Harry Potter and the Philosopher’s Stone, what is the three-headed dog guarding?","The Philosopher's Stone","The Chamber of Secrets","The Sorting Hat","The Mirror of Erised","A","hard"
"Harry Potter","In Harry Potter and the Chamber of Secrets, what is the full name of the ghost who haunts the girls' bathroom?","Moaning Myrtle","Nearly Headless Nick","The Fat Friar","The Grey Lady","A","hard"
"Harry Potter","In Harry Potter and the Order of the Phoenix, what is the address of the Ministry of Magic's visitor entrance?","12 Grimmauld Place","4 Privet Drive","97","Platform 9¾","C","hard"
"Harry Potter","In Harry Potter and the Deathly Hallows – Part 2, what does the Elder Wand's core consist of?","Thestral hair","Dragon heartstring","Unicorn hair","Phoenix feather","A","hard"
"Harry Potter","In Harry Potter and the Prisoner of Azkaban, what spell does Hermione use to knock out Snape in the Shrieking Shack?","Stupefy","Petrificus Totalus","Expelliarmus","Impedimenta","A","hard"
"Harry Potter","In Harry Potter and the Goblet of Fire, who is the Beauxbatons headmistress?","Madame Maxime","Fleur Delacour","Olympe Maxime","Gabrielle Delacour","C","hard"
"Harry Potter","In Harry Potter and the Half-Blood Prince, what is the name of the cursed necklace that nearly kills Katie Bell?","Opal Necklace","Slytherin's Locket","Hufflepuff's Cup","Ravenclaw's Diadem","A","hard"
"Harry Potter","In Harry Potter and the Philosopher’s Stone, what is Hagrid's illegal dragon named?","Norbert","Fang","Fluffy","Buckbeak","A","hard"
"Harry Potter","In Harry Potter and the Chamber of Secrets, what vehicle does Dobby use to save Harry from the Dursleys?","A flying Ford Anglia","A broomstick","The Knight Bus","A Portkey","A","hard"
"Harry Potter","In Harry Potter and the Order of the Phoenix, what is the prophecy about Harry and Voldemort stored in?","A glass orb","A Pensieve","A book","A locket","A","hard"
"Harry Potter","In Harry Potter and the Deathly Hallows – Part 1, what disguise does Hermione use at the wedding?","A redhead","A blonde","A brunette","A bald woman","A","hard"
"Harry Potter","In Harry Potter and the Prisoner of Azkaban, what is the name of the sweet that allows the eater to become an Animagus temporarily?","Bertie Bott's Every Flavor Beans","Ton-Tongue Toffee","Chocolate Frogs","Pumpkin Pasties","B","hard"
"Harry Potter","In Harry Potter and the Goblet of Fire, what creature pulls the Durmstrang ship out of the lake?","Merpeople","Giants","Hippogriffs","Trolls","A","hard"
"Harry Potter","In Harry Potter and the Half-Blood Prince, who teaches Harry the Sectumsempra spell?","The Half-Blood Prince's book","Snape","Draco Malfoy","Dumbledore","A","hard"
"Harry Potter","In Harry Potter and the Philosopher’s Stone, what is the password to the Gryffindor common room in the first year?","Caput Draconis","Pig Snout","Baubles","Wattlebird","A","hard"
"Harry Potter","In Harry Potter and the Chamber of Secrets, what is the name of the Weasleys' home?","The Burrow","The Shack","Grimmauld Place","Malfoy Manor","A","hard"
"Harry Potter","In Harry Potter and the Order of the Phoenix, what position does Umbridge hold at Hogwarts?","High Inquisitor","Defense Against the Dark Arts professor","Transfiguration teacher","Headmistress","A","hard"
"Harry Potter","In Harry Potter and the Deathly Hallows – Part 2, what is the name of the bridge that collapses during the Battle of Hogwarts?","Hogwarts Bridge","Black Lake Bridge","Viaduct Bridge","Forbidden Forest Bridge","C","hard"
"Harry Potter","In Harry Potter and the Prisoner of Azkaban, what form does Sirius Black's Animagus take?","A dog","A rat","A stag","A cat","A","hard"
"Harry Potter","In Harry Potter and the Goblet of Fire, what is the first task of the Triwizard Tournament?","Battling a dragon","Rescuing a hostage","Navigating a maze","Brewing a potion","A","hard"
"Harry Potter","In Harry Potter and the Half-Blood Prince, what is Slughorn's first name?","Horace","Severus","Albus","Remus","A","hard"
"Harry Potter","In Harry Potter and the Philosopher’s Stone, who is the captain of the Gryffindor Quidditch team?","Oliver Wood","Angelina Johnson","Fred Weasley","Katie Bell","A","hard"
"Harry Potter","In Harry Potter and the Chamber of Secrets, what is the password to Slytherin common room when Draco is prefect?","Pure-blood","Parseltongue","Serpent","Mudblood","A","hard"
"Harry Potter","In Harry Potter and the Order of the Phoenix, what is the name of Harry's secret defense group?","Dumbledore's Army","Order of the Phoenix","Gryffindor Guardians","Potterwatch","A","hard"
"Harry Potter","In Harry Potter and the Deathly Hallows – Part 1, what radio program do the trio listen to for news?","Potterwatch","Wizarding Wireless Network","Daily Prophet Broadcast","Ministry Updates","A","hard"
"Harry Potter","In Harry Potter and the Prisoner of Azkaban, what is the name of the pub in Hogsmeade?","The Three Broomsticks","The Hog's Head","The Leaky Cauldron","The Shrieking Shack","A","hard"
"Harry Potter","In Harry Potter and the Goblet of Fire, what does Barty Crouch Jr. use to impersonate Moody?","Polyjuice Potion","Transfiguration","An Invisibility Cloak","A Confundus Charm","A","hard"
"Harry Potter","In Harry Potter and the Half-Blood Prince, what memory does Dumbledore show Harry of Tom Riddle's childhood?","The orphanage","The Gaunt family","Hogwarts arrival","The first Horcrux","A","hard"
"Harry Potter","In Harry Potter and the Philosopher’s Stone, what does Quirrell use to protect the Stone?","A troll","The Mirror of Erised","Devil's Snare","A three-headed dog","B","hard"
"Harry Potter","In Harry Potter and the Chamber of Secrets, who is the heir of Slytherin?","Tom Riddle","Draco Malfoy","Lucius Malfoy","Salazar Slytherin","A","hard"
"Harry Potter","In Harry Potter and the Order of the Phoenix, what creature attacks Arthur Weasley?","A snake","A werewolf","A vampire","A dementor","A","hard"
"Harry Potter","In Harry Potter and the Deathly Hallows – Part 2, who destroys the Horcrux in Ravenclaw's diadem?","Fiendfyre","The Elder Wand","Basilisk venom","Sectumsempra","A","hard"
"Harry Potter","In Harry Potter and the Prisoner of Azkaban, what is the name of the executioner for Buckbeak?","Walden Macnair","Cornelius Fudge","Hagrid","Draco Malfoy","A","hard"
"Harry Potter","In Harry Potter and the Goblet of Fire, what song do the Weird Sisters play at the Yule Ball?","Do the Hippogriff","Wingardium Leviosa","Accio Dance","Expecto Patronum","A","hard"
"Harry Potter","In Harry Potter and the Half-Blood Prince, what is the name of the cave where Dumbledore and Harry retrieve the locket?","The Crystal Cave","The Inferi Cave","The Horcrux Cave","The Sea Cave","C","hard"
"Harry Potter","In Harry Potter and the Philosopher’s Stone, what is the final password to the Gryffindor common room?","Lemon Drop","Sherbet Lemon","Baubles","Pig Snout","B","hard"
"Harry Potter","How many gifts did Dudley Dursley receive on his 11th birthday, which he complained was 1 less than last year? (Philosopher's Stone)","37","35","36","38","C","hard"
"Harry Potter","What is the name of the store where Harry Potter met Gilderoy Lockhart for the very first time? (Chamber of Secrets)","Ollivanders","Flourish and Blotts","Madam Malkin's","Quality Quidditch Supplies","B","hard"
"Harry Potter","In which order do the Marauders’ names appear on the Marauder’s Map? (Prisoner of Azkaban)","Padfoot, Prongs, Moony, Wormtail","Moony, Wormtail, Padfoot, Prongs","Wormtail, Moony, Prongs, Padfoot","Prongs, Padfoot, Wormtail, Moony","B","hard"
"Harry Potter","What is the name of the dragon that Cedric Diggory has to face in the Triwizard Tournament? (Goblet of Fire)","Hungarian Horntail","Chinese Fireball","Swedish Short-Snout","Common Welsh Green","C","hard"
"Harry Potter","Where is the Order of the Phoenix headquarters located? (Order of the Phoenix)","The Burrow","12 Grimmauld Place","Hogwarts","Godric's Hollow","B","hard"
"Harry Potter","Who is the student that gets cursed by the necklace in the 6th film? (Half-Blood Prince)","Lavender Brown","Katie Bell","Cho Chang","Luna Lovegood","B","hard"
"Harry Potter","What does Hermione receive from Dumbledore's will? (Deathly Hallows: Part 1)","A Deluminator","The Tales of Beedle the Bard","A sword","A pensieve","B","hard"
"Harry Potter","Who was the first character to speak in the final movie of the series? (Deathly Hallows: Part 2)","Harry Potter","Ron Weasley","Luna Lovegood","Hermione Granger","C","hard"
"Harry Potter","What is the name of the three-headed dog that guarded the Philosopher's Stone? (Philosopher's Stone)","Fang","Norbert","Fluffy","Aragog","C","hard"
"Harry Potter","Finish this quote: ""The Chamber of Secrets has been opened"", _____________ (Chamber of Secrets)","fear the heir","enemies of the heir, beware","the serpent awakens","darkness rises","B","hard"
"Harry Potter","Who directed the 3rd movie? (Prisoner of Azkaban)","Chris Columbus","Alfonso Cuarón","Mike Newell","David Yates","B","hard"
"Harry Potter","How old do you have to be to put your name in the Goblet of Fire? (Goblet of Fire)","16","18","15","17","D","hard"
"Harry Potter","What line must Harry write repeatedly while in detention? (Order of the Phoenix)","I must not lie","I must not tell lies","I will not disobey","I must behave","B","hard"
"Harry Potter","What year did the 6th movie come out in theaters? (Half-Blood Prince)","2008","2010","2009","2007","C","hard"
"Harry Potter","A Hogwarts professor is murdered by Nagini as she pleaded for Severus Snape to help her. Who was this? (Deathly Hallows: Part 1)","Sybill Trelawney","Charity Burbage","Pomona Sprout","Minerva McGonagall","B","hard"
"Harry Potter","What type of dragon is guarding Gringotts Bank? (Deathly Hallows: Part 2)","Norwegian Ridgeback","Ukrainian Ironbelly","Swedish Short-Snout","Hungarian Horntail","B","hard"
"Harry Potter","What is the number of Harry Potter's vault at Gringotts? (Philosopher's Stone)","713","687","456","999","B","hard"
"Harry Potter","What was the name of the dangerous plant that the second years learned about in Herbology? (Chamber of Secrets)","Devil's Snare","Mandrakes","Venomous Tentacula","Fluxweed","B","hard"
"Harry Potter","What was the exact time that Harry & Hermione went back in time to using the Time-Turner? (Prisoner of Azkaban)","8:00 PM","7:30 PM","6:45 PM","9:15 PM","B","hard"
"Harry Potter","What color was Harry’s bow tie at the Yule Ball? (Goblet of Fire)","Black","Red","White","Green","C","hard"
"Harry Potter","What is the name of Hagrid’s half-brother? (Order of the Phoenix)","Grawp","Norbert","Buckbeak","Firenze","A","hard"
"Harry Potter","Who is Ron’s competition for the keeper position at the Gryffindor Quidditch tryouts? (Half-Blood Prince)","Oliver Wood","Cormac McLaggen","Seamus Finnigan","Dean Thomas","B","hard"
"Harry Potter","Who replaced Rufus Scrimgeour as the new Minister for Magic? (Deathly Hallows: Part 1)","Cornelius Fudge","Pius Thicknesse","Kingsley Shacklebolt","Dolores Umbridge","B","hard"
"Harry Potter","What is the final line of the series? (Deathly Hallows: Part 2)","Always","Ready","Goodbye","Forever","B","hard"
"Harry Potter","What is the runtime of the longest Harry Potter movie? (Chamber of Secrets)","2 hours 41 minutes","2 hours 37 minutes","2 hours 33 minutes","2 hours 32 minutes","A","hard"
"Harry Potter","What is the runtime of the shortest Harry Potter movie? (Deathly Hallows: Part 2)","2 hours 19 minutes","2 hours 26 minutes","2 hours 10 minutes","2 hours 22 minutes","C","hard"
"Harry Potter","Which actor was rumored for the role of Harry Potter but did not get cast? (Philosopher's Stone)","Eddie Redmayne","Liam Aiken","Tom Felton","Jamie Campbell Bower","B","hard"
"Harry Potter","Which actor auditioned for both Harry and Ron but was cast as Draco Malfoy? (Philosopher's Stone)","Liam Aiken","Tom Felton","Hugh Grant","Ian McKellen","B","hard"
"Harry Potter","Which actor really wanted to play Hagrid but was turned down due to the British actors rule? (Philosopher's Stone)","Robin Williams","Tim Roth","Rosie O'Donnell","Helen McCrory","A","hard"
"Harry Potter","Which actress wanted to play Molly Weasley but was turned down due to the British actors rule? (Chamber of Secrets)","Naomi Watts","Rosie O'Donnell","Helena Bonham Carter","J.K. Rowling","B","hard"
"Harry Potter","Which actor was originally offered the role of Severus Snape but turned it down? (Philosopher's Stone)","Alan Rickman","Tim Roth","Ian McKellen","Hugh Grant","B","hard"
"Harry Potter","Which actor auditioned to play Tom Riddle in Chamber of Secrets? (Chamber of Secrets)","Eddie Redmayne","Jamie Campbell Bower","Tom Felton","Liam Aiken","A","hard"
"Harry Potter","Which actor auditioned to play Tom Riddle in Half-Blood Prince? (Half-Blood Prince)","Eddie Redmayne","Jamie Campbell Bower","Ian McKellen","Tim Roth","B","hard"
"Harry Potter","Which actress was originally cast as Bellatrix Lestrange but had to pass due to pregnancy? (Order of the Phoenix)","Helena Bonham Carter","Helen McCrory","Naomi Watts","J.K. Rowling","B","hard"
"Harry Potter","There were reports that which actress was going to play Narcissa Malfoy in Half-Blood Prince? (Half-Blood Prince)","Helena Bonham Carter","Helen McCrory","Naomi Watts","Rosie O'Donnell","C","hard"
"Harry Potter","After Richard Harris's passing, which actor was offered the role of Albus Dumbledore? (Chamber of Secrets)","Ian McKellen","Tim Roth","Hugh Grant","Robin Williams","A","hard"
"Harry Potter","J.K. Rowling was asked to play which role but turned it down? (Philosopher's Stone)","Molly Weasley","Lily Potter","Narcissa Malfoy","Petunia Dursley","B","hard"
"Harry Potter","Which actor turned down the role of Professor Lockhart in the second movie? (Chamber of Secrets)","Hugh Grant","Tim Roth","Ian McKellen","Eddie Redmayne","A","hard"
"Harry Potter","What distraction did Cedric Diggory use to get past the dragon in the Triwizard Tournament? (Goblet of Fire)","A rock turned into a dog","Fire from his wand","An invisibility cloak","A stunning spell","A","hard"
"Harry Potter","What was the biggest weakness of the three-headed dog Fluffy? (Philosopher's Stone)","Fire","Music","Water","Light","B","hard"
"Harry Potter","What did Petunia Dursley promise Dudley after he complained about his gifts? (Philosopher's Stone)","One more present","Two more presents","A trip to the zoo","New toys","B","hard"
"Harry Potter","Where was the book signing event where Harry met Lockhart and Lucius slipped the diary to Ginny? (Chamber of Secrets)","Diagon Alley","Flourish and Blotts","Hogsmeade","Platform 9¾","B","hard"
"Harry Potter","What skill did Cedric use to distract the Swedish Short-Snout? (Goblet of Fire)","Charms","Transfiguration","Potions","Herbology","B","hard"
"Harry Potter","What house was the Marauder's Map's headquarters originally from? (Prisoner of Azkaban)","Slytherin","Gryffindor","Ravenclaw","Hufflepuff","B","hard"
"Harry Potter","What was the purpose of the necklace that cursed Katie Bell? (Half-Blood Prince)","To curse Draco","To kill Dumbledore","To steal the Horcrux","To curse Harry","B","hard"
"Harry Potter","What did the Tales of Beedle the Bard feature regarding the Deathly Hallows? (Deathly Hallows: Part 1)","The three brothers story","A map to the Hallows","Spells to use them","Their destruction","A","hard"
"Harry Potter","What was Luna Lovegood's first line in Deathly Hallows: Part 2? (Deathly Hallows: Part 2)","We're safe now","It's beautiful here","The end is near","Follow me","B","hard"
"Harry Potter","Where was the writing ""The Chamber of Secrets has been opened"" found? (Chamber of Secrets)","On a wall at Hogwarts","In a book","On the floor","In the diary","A","hard"
"Harry Potter","What spell was put on the Goblet of Fire to enforce the age limit? (Goblet of Fire)","An Age Line","A Binding Spell","A Protection Charm","An Imperius Curse","A","hard"
"Harry Potter","What was the form of torture used on Harry during detention with Umbridge? (Order of the Phoenix)","A blood quill","Veritaserum","Cruciatus Curse","Legilimency","A","hard"
"Harry Potter","In the first movie, which four characters does Harry meet on his first visit to the Leaky Cauldron?","Tom the bartender, Cornelius Fudge, Dedalus Diggle, and Professor Quirrell","Tom the bartender, Doris Crockford, Dedalus Diggle, and Professor Quirrell","Tom the bartender, Mundungus Fletcher, Dedalus Diggle, and Professor Quirrell","Tom the bartender, Doris Crockford, Albus Dumbledore, and Professor Quirrell","B","hard"
"Harry Potter","In the first movie, after rescuing Harry from Godric’s Hollow, who did Hagrid borrow the flying motorbike from?","Remus Lupin","James Potter","Sirius Black","Alastor Moody","C","hard"
"Harry Potter","In the first movie, what happened when Aunt Petunia tried to cut Harry’s hair?","It turned white overnight","It regrew overnight","It became curly overnight","It fell out overnight","B","hard"
"Harry Potter","In the first movie, which Quidditch ball earns you the least number of points?","The Golden Snitch (150 points)","The Quaffle (10 points)","A Bludger (0 points)","The Remembrall (50 points)","C","hard"
"Harry Potter","In the first movie, on Privet Drive, what type of candy does Dumbledore offer to Professor McGonagall?","Bertie Bott's Every Flavor Beans","Chocolate Frog","Lemon drop","Acid Pops","C","hard"
"Harry Potter","In the first movie, during their first flying lesson, what possession of Neville’s does Harry retrieve?","His wand","A Remembrall","His broomstick","His glasses","B","hard"
"Harry Potter","In the first movie, in Ollivander’s, what happens when Harry uses the holly and phoenix feather wand for the first time?","It emits blue sparks","It shoots red and gold sparks","It glows green","It explodes in flames","B","hard"
"Harry Potter","In the first movie, what do the Dursleys send Harry for Christmas?","A single knut","A toothpick","A fifty-pence piece","Nothing at all","C","hard"
"Harry Potter","In the first movie, Snape’s first question to Harry is “What would I get if I added powdered root of asphodel to an infusion of wormwood?” What is the answer?","The Elixir to Induce Euphoria","The Draught of Living Death","Veritaserum","Felix Felicis","B","hard"
"Harry Potter","In the first movie, how many Gryffindor students earned additional points at the end-of-year feast?","Three—Hermione, Harry, and Ron","Four—Hermione, Harry, Ron, and Neville","Five—Hermione, Harry, Ron, Neville, and Hagrid","Two—Harry and Ron","B","hard"
"Harry Potter","In the first movie, what is the result of drinking unicorn blood?","It grants eternal youth","The drinker will be saved from death but live a cursed life","It causes instant death","It enhances magical powers","B","hard"
"Harry Potter","In the first movie, in the Forbidden Forest, what does Bane repeatedly observe about the sky?","""Venus is bright tonight""","""Jupiter is bright tonight""","""Mars is bright tonight""","""Saturn is bright tonight""","C","hard"
